Universe	Total population
PCT057006	14	With public assistance income in 1999
PCT057007	14	Without public assistance income in 1999
PCT057008	12	Without Social Security income in 1999:
PCT057009	14	With public assistance income in 1999
PCT057010	14	Without public assistance income in 1999
PCT057011	10	Not living alone:
PCT057012	12	With Social Security income in 1999:
PCT057013	14	With public assistance income in 1999
PCT057014	14	Without public assistance income in 1999
PCT057015	12	Without Social Security income in 1999:
PCT057016	14	With public assistance income in 1999
PCT057017	14	Without public assistance income in 1999
PCT057018	8	Other unrelated individuals:
PCT057019	10	With Social Security income in 1999:
PCT057020	12	With public assistance income in 1999
PCT057021	12	Without public assistance income in 1999
PCT057022	10	Without Social Security income in 1999:
PCT057023	12	With public assistance income in 1999
PCT057024	12	Without public assistance income in 1999
PCT057025	6	Income in 1999 at or above poverty level:
PCT057026	8	Nonfamily householder:
PCT057027	10	Living alone:
PCT057028	12	With Social Security income in 1999:
PCT057029	14	With public assistance income in 1999
PCT057030	14	Without public assistance income in 1999
PCT057031	12	Without Social Security income in 1999:
PCT057032	14	With public assistance income in 1999
PCT057033	14	Without public assistance income in 1999
PCT057034	10	Not living alone:
PCT057035	12	With Social Security income in 1999:
PCT057036	14	With public assistance income in 1999
PCT057037	14	Without public assistance income in 1999
PCT057038	12	Without Social Security income in 1999:
PCT057039	14	With public assistance income in 1999
PCT057040	14	Without public assistance income in 1999
PCT057041	8	Other unrelated individuals:
PCT057042	10	With Social Security income in 1999:
PCT057043	12	With public assistance income in 1999
PCT057044	12	Without public assistance income in 1999
PCT057045	10	Without Social Security income in 1999:
PCT057046	12	With public assistance income in 1999
PCT057047	12	Without public assistance income in 1999
Universe	Unrelated individuals for whom poverty status is determined
PCT058001	0	Total:
PCT058002	6	Income in 1999 below poverty level:
PCT058003	8	Worked full-time, year-round in 1999:
PCT058004	10	Nonfamily householder
PCT058005	10	Other unrelated individuals
PCT058006	8	Worked less than full-time, year-round in 1999:
PCT058007	10	Nonfamily householder
PCT058008	10	Other unrelated individuals
PCT058009	8	Did not work in 1999:
PCT058010	10	Nonfamily householder
PCT058011	10	Other unrelated individuals
PCT058012	6	Income in 1999 at or above poverty level:
PCT058013	8	Worked full-time, year-round in 1999:
PCT058014	10	Nonfamily householder
PCT058015	10	Other unrelated individuals
PCT058016	8	Worked less than full-time, year-round in 1999:
PCT058017	10	Nonfamily householder
PCT058018	10	Other unrelated individuals
PCT058019	8	Did not work in 1999:
PCT058020	10	Nonfamily householder
PCT058021	10	Other unrelated individuals
Universe	Families
PCT059001	0	Total:
PCT059002	6	Income in 1999 below poverty level:
PCT059003	8	Married-couple family:
PCT059004	10	With Social Security income in 1999:
PCT059005	12	With SSI and/or public assistance income in 1999
PCT059006	12	Without SSI or public assistance income in 1999
PCT059007	10	Without Social Security income in 1999:
PCT059008	12	With SSI and/or public assistance income in 1999
PCT059009	12	Without SSI or public assistance income in 1999
PCT059010	8	Other family:
PCT059011	10	Male householder, no wife present:
PCT059012	12	With Social Security income in 1999:
PCT059013	14	With SSI and/or public assistance income in 1999
PCT059014	14	Without SSI or public assistance income in 1999
PCT059015	12	Without Social Security income in 1999:
PCT059016	14	With SSI and/or public assistance income in 1999
PCT059017	14	Without SSI or public assistance income in 1999
PCT059018	10	Female householder, no husband present:
PCT059019	12	With Social Security income in 1999:
PCT059020	14	With SSI and/or public assistance income in 1999
PCT059021	14	Without SSI or public assistance income in 1999
PCT059022	12	Without Social Security income in 1999:
PCT059023	14	With SSI and/or public assistance income in 1999
PCT059024	14	Without SSI or public assistance income in 1999
PCT059025	6	Income in 1999 at or above poverty level:
PCT059026	8	Married-couple family:
PCT059027	10	With Social Security income in 1999:
PCT059028	12	With SSI and/or public assistance income in 1999
PCT059029	12	Without SSI or public assistance income in 1999
PCT059030	10	Without Social Security income in 1999:
PCT059031	12	With SSI and/or public assistance income in 1999
PCT059032	12	Without SSI or public assistance income in 1999
PCT059033	8	Other family:
PCT059034	10	Male householder, no wife present:
PCT059035	12	With Social Security income in 1999:
PCT059036	14	With SSI and/or public assistance income in 1999
PCT059037	14	Without SSI or public assistance income in 1999
PCT059038	12	Without Social Security income in 1999:
PCT059039	14	With SSI and/or public assistance income in 1999
PCT059040	14	Without SSI or public assistance income in 1999
PCT059041	10	Female householder, no husband present:
PCT059042	12	With Social Security income in 1999:
PCT059043	14	With SSI and/or public assistance income in 1999
PCT059044	14	Without SSI or public assistance income in 1999
PCT059045	12	Without Social Security income in 1999:
PCT059046	14	With SSI and/or public assistance income in 1999
PCT059047	14	Without SSI or public assistance income in 1999
Universe	Families
PCT060001	0	Total:
PCT060002	6	Income in 1999 below poverty level:
PCT060003	8	Married-couple family:
PCT060004	10	Householder worked full-time, year-round in 1999:
PCT060005	12	Spouse worked full-time, year-round in 1999
PCT060006	12	Spouse worked less than full-time, year-round in 1999
PCT060007	12	Spouse did not work in 1999
PCT060008	10	Householder worked less than full-time, year-round in 1999:
PCT060009	12	Spouse worked full-time, year-round in 1999
PCT060010	12	Spouse worked less than full-time, year-round in 1999
PCT060011	12	Spouse did not work in 1999
PCT060012	10	Householder did not work in 1999:
PCT060013	12	Spouse worked full-time, year-round in 1999
PCT060014	12	Spouse worked less than full-time, year-round in 1999
PCT060015	12	Spouse did not work in 1999
PCT060016	8	Other family:
PCT060017	10	Male householder, no wife present:
PCT060018	12	Householder worked full-time, year-round in 1999
PCT060019	12	Householder worked less than full-time, year-round in 1999
PCT060020	12	Householder did not work in 1999
PCT060021	10	Female householder, no husband present:
PCT060022	12	Householder worked full-time, year-round in 1999
PCT060023	12	Householder worked less than full-time, year-round in 1999
PCT060024	12	Householder did not work in 1999
PCT060025	6	Income in 1999 at or above poverty level:
PCT060026	8	Married-couple family:
PCT060027	10	Householder worked full-time, year-round in 1999:
PCT060028	12	Spouse worked full-time, year-round in 1999
PCT060029	12	Spouse worked less than full-time, year-round in 1999
PCT060030	12	Spouse did not work in 1999
PCT060031	10	Householder worked less than full-time, year-round in 1999:
PCT060032	12	Spouse worked full-time, year-round in 1999
PCT060033	12	Spouse worked less than full-time, year-round in 1999
PCT060034	12	Spouse did not work in 1999
PCT060035	10	Householder did not work in 1999:
PCT060036	12	Spouse worked full-time, year-round in 1999
PCT060037	12	Spouse worked less than full-time, year-round in 1999
PCT060038	12	Spouse did not work in 1999
PCT060039	8	Other family:
PCT060040	10	Male householder, no wife present:
PCT060041	12	Householder worked full-time, year-round in 1999
PCT060042	12	Householder worked less than full-time, year-round in 1999
PCT060043	12	Householder did not work in 1999
PCT060044	10	Female householder, no husband present:
PCT060045	12	Householder worked full-time, year-round in 1999
PCT060046	12	Householder worked less than full-time, year-round in 1999
PCT060047	12	Householder did not work in 1999
Universe	Families
PCT061001	0	Total:
PCT061002	6	Under 1.30:
PCT061003	8	Married-couple family:
PCT061004	10	With related children under 18 years:
PCT061005	12	Under 5 years only
PCT061006	12	Under 5 years and 5 to 17 years
PCT061007	12	5 to 17 years only
PCT061008	10	No related children under 18 years
PCT061009	8	Other family:
PCT061010	10	Male householder, no wife present:
PCT061011	12	With related children under 18 years:
PCT061012	14	Under 5 years only
PCT061013	14	Under 5 and 5 to 17 years
PCT061014	14	5 to 17 years only
PCT061015	12	No related children under 18 years
PCT061016	10	Female householder, no husband present:
PCT061017	12	With related children under 18 years:
PCT061018	14	Under 5 years only
PCT061019	14	Under 5 and 5 to 17 years
PCT061020	14	5 to 17 years only
PCT061021	12	No related children under 18 years
PCT061022	6	1.30 to 1.49:
PCT061023	8	Married-couple family:
PCT061024	10	With related children under 18 years:
PCT061025	12	Under 5 years only
PCT061026	12	Under 5 years and 5 to 17 years
PCT061027	12	5 to 17 years only
PCT061028	10	No related children under 18 years
PCT061029	8	Other family:
PCT061030	10	Male householder, no wife present:
PCT061031	12	With related children under 18 years:
PCT061032	14	Under 5 years only
PCT061033	14	Under 5 and 5 to 17 years
PCT061034	14	5 to 17 years only
PCT061035	12	No related children under 18 years
PCT061036	10	Female householder, no husband present:
PCT061037	12	With related children under 18 years:
PCT061038	14	Under 5 years only
PCT061039	14	Under 5 and 5 to 17 years
PCT061040	14	5 to 17 years only
PCT061041	12	No related children under 18 years
PCT061042	6	1.50 to 1.84:
PCT061043	8	Married-couple family:
PCT061044	10	With related children under 18 years:
PCT061045	12	Under 5 years only
PCT061046	12	Under 5 years and 5 to 17 years
PCT061047	12	5 to 17 years only
PCT061048	10	No related children under 18 years
PCT061049	8	Other family:
PCT061050	10	Male householder, no wife present:
PCT061051	12	With related children under 18 years:
PCT061052	14	Under 5 years only
PCT061053	14	Under 5 and 5 to 17 years
PCT061054	14	5 to 17 years only
PCT061055	12	No related children under 18 years
PCT061056	10	Female householder, no husband present:
PCT061057	12	With related children under 18 years:
PCT061058	14	Under 5 years only
PCT061059	14	Under 5 and 5 to 17 years
PCT061060	14	5 to 17 years only
PCT061061	12	No related children under 18 years
PCT061062	6	1.85 and above:
PCT061063	8	Married-couple family:
PCT061064	10	With related children under 18 years:
PCT061065	12	Under 5 years only
PCT061066	12	Under 5 years and 5 to 17 years
PCT061067	12	5 to 17 years only
PCT061068	10	No related children under 18 years
PCT061069	8	Other family:
PCT061070	10	Male householder, no wife present:
PCT061071	12	With related children under 18 years:
PCT061072	14	Under 5 years only
PCT061073	14	Under 5 and 5 to 17 years
PCT061074	14	5 to 17 years only
PCT061075	12	No related children under 18 years
PCT061076	10	Female householder, no husband present:
PCT061077	12	With related children under 18 years:
PCT061078	14	Under 5 years only
PCT061079	14	Under 5 and 5 to 17 years
PCT061080	14	5 to 17 years only
PCT061081	12	No related children under 18 years
Universe	White alone population 5 years and over
PCT062A001	0	Total:
PCT062A002	6	5 to 17 years:
PCT062A003	8	Speak only English
PCT062A004	8	Speak other languages:
PCT062A005	10	Speak English "very well"
PCT062A006	10	Speak English "well"
PCT062A007	10	Speak English "not well"
PCT062A008	10	Speak English "not at all"
PCT062A009	6	18 to 64 years:
PCT062A010	8	Speak only English
PCT062A011	8	Speak other languages:
PCT062A012	10	Speak English "very well"
PCT062A013	10	Speak English "well"
PCT062A014	10	Speak English "not well"
PCT062A015	10	Speak English "not at all"
PCT062A016	6	65 years and over:
PCT062A017	8	Speak only English
PCT062A018	8	Speak other languages:
PCT062A019	10	Speak English "very well"
PCT062A020	10	Speak English "well"
PCT062A021	10	Speak English "not well"
PCT062A022	10	Speak English "not at all"
Universe	Black or African American alone population 5 years and over
PCT062B001	0	Total:
PCT062B002	6	5 to 17 years:
PCT062B003	8	Speak only English
PCT062B004	8	Speak other languages:
PCT062B005	10	Speak English "very well"
PCT062B006	10	Speak English "well"
PCT062B007	10	Speak English "not well"
PCT062B008	10	Speak English "not at all"
PCT062B009	6	18 to 64 years:
PCT062B010	8	Speak only English
PCT062B011	8	Speak other languages:
PCT062B012	10	Speak English "very well"
PCT062B013	10	Speak English "well"
PCT062B014	10	Speak English "not well"
PCT062B015	10	Speak English "not at all"
PCT062B016	6	65 years and over:
PCT062B017	8	Speak only English
PCT062B018	8	Speak other languages:
PCT062B019	10	Speak English "very well"
PCT062B020	10	Speak English "well"
PCT062B021	10	Speak English "not well"
PCT062B022	10	Speak English "not at all"
Universe	American Indian and Alaska Native alone population 5 years and over
PCT062C001	0	Total:
PCT062C002	6	5 to 17 years:
PCT062C003	8	Speak only English
PCT062C004	8	Speak other languages:
PCT062C005	10	Speak English "very well"
PCT062C006	10	Speak English "well"
PCT062C007	10	Speak English "not well"
PCT062C008	10	Speak English "not at all"
PCT062C009	6	18 to 64 years:
PCT062C010	8	Speak only English
PCT062C011	8	Speak other languages:
PCT062C012	10	Speak English "very well"
PCT062C013	10	Speak English "well"
PCT062C014	10	Speak English "not well"
PCT062C015	10	Speak English "not at all"
PCT062C016	6	65 years and over:
PCT062C017	8	Speak only English
PCT062C018	8	Speak other languages:
PCT062C019	10	Speak English "very well"
PCT062C020	10	Speak English "well"
PCT062C021	10	Speak English "not well"
PCT062C022	10	Speak English "not at all"
Universe	Asian alone population 5 years and over
PCT062D001	0	Total:
PCT062D002	6	5 to 17 years:
PCT062D003	8	Speak only English
PCT062D004	8	Speak other languages:
PCT062D005	10	Speak English "very well"
PCT062D006	10	Speak English "well"
PCT062D007	10	Speak English "not well"
PCT062D008	10	Speak English "not at all"
PCT062D009	6	18 to 64 years:
PCT062D010	8	Speak only English
PCT062D011	8	Speak other languages:
PCT062D012	10	Speak English "very well"
PCT062D013	10	Speak English "well"
PCT062D014	10	Speak English "not well"
PCT062D015	10	Speak English "not at all"
PCT062D016	6	65 years and over:
PCT062D017	8	Speak only English
PCT062D018	8	Speak other languages:
PCT062D019	10	Speak English "very well"
PCT062D020	10	Speak English "well"
PCT062D021	10	Speak English "not well"
PCT062D022	10	Speak English "not at all"
Universe	Native Hawaiian and Other Pacific Islander alone population 5 years and over
PCT062E001	0	Total:
PCT062E002	6	5 to 17 years:
PCT062E003	8	Speak only English
PCT062E004	8	Speak other languages:
PCT062E005	10	Speak English "very well"
PCT062E006	10	Speak English "well"
PCT062E007	10	Speak English "not well"
PCT062E008	10	Speak English "not at all"
PCT062E009	6	18 to 64 years:
PCT062E010	8	Speak only English
PCT062E011	8	Speak other languages:
PCT062E012	10	Speak English "very well"
PCT062E013	10	Speak English "well"
PCT062E014	10	Speak English "not well"
PCT062E015	10	Speak English "not at all"
PCT062E016	6	65 years and over:
PCT062E017	8	Speak only English
PCT062E018	8	Speak other languages:
PCT062E019	10	Speak English "very well"
PCT062E020	10	Speak English "well"
PCT062E021	10	Speak English "not well"
PCT062E022	10	Speak English "not at all"
Universe	Some other race alone population 5 years and over
PCT062F001	0	Total:
PCT062F002	6	5 to 17 years:
PCT062F003	8	Speak only English
PCT062F004	8	Speak other languages:
PCT062F005	10	Speak English "very well"
PCT062F006	10	Speak English "well"
PCT062F007	10	Speak English "not well"
PCT062F008	10	Speak English "not at all"
PCT062F009	6	18 to 64 years:
PCT062F010	8	Speak only English
PCT062F011	8	Speak other languages:
PCT062F012	10	Speak English "very well"
PCT062F013	10	Speak English "well"
PCT062F014	10	Speak English "not well"
PCT062F015	10	Speak English "not at all"
PCT062F016	6	65 years and over:
PCT062F017	8	Speak only English
PCT062F018	8	Speak other languages:
PCT062F019	10	Speak English "very well"
PCT062F020	10	Speak English "well"
PCT062F021	10	Speak English "not well"
PCT062F022	10	Speak English "not at all"
Universe	Two or more races population 5 years and over
PCT062G001	0	Total:
PCT062G002	6	5 to 17 years:
PCT062G003	8	Speak only English
PCT062G004	8	Speak other languages:
PCT062G005	10	Speak English "very well"
PCT062G006	10	Speak English "well"
PCT062G007	10	Speak English "not well"
PCT062G008	10	Speak English "not at all"
PCT062G009	6	18 to 64 years:
PCT062G010	8	Speak only English
PCT062G011	8	Speak other languages:
PCT062G012	10	Speak English "very well"
PCT062G013	10	Speak English "well"
PCT062G014	10	Speak English "not well"
PCT062G015	10	Speak English "not at all"
PCT062G016	6	65 years and over:
PCT062G017	8	Speak only English
PCT062G018	8	Speak other languages:
PCT062G019	10	Speak English "very well"
PCT062G020	10	Speak English "well"
PCT062G021	10	Speak English "not well"
PCT062G022	10	Speak English "not at all"
Universe	Hispanic or Latino population 5 years and over
PCT062H001	0	Total:
PCT062H002	6	5 to 17 years:
PCT062H003	8	Speak only English
PCT062H004	8	Speak other languages:
PCT062H005	10	Speak English "very well"
PCT062H006	10	Speak English "well"
PCT062H007	10	Speak English "not well"
PCT062H008	10	Speak English "not at all"
PCT062H009	6	18 to 64 years:
PCT062H010	8	Speak only English
PCT062H011	8	Speak other languages:
PCT062H012	10	Speak English "very well"
PCT062H013	10	Speak English "well"
PCT062H014	10	Speak English "not well"
PCT062H015	10	Speak English "not at all"
PCT062H016	6	65 years and over:
PCT062H017	8	Speak only English
PCT062H018	8	Speak other languages:
PCT062H019	10	Speak English "very well"
PCT062H020	10	Speak English "well"
PCT062H021	10	Speak English "not well"
PCT062H022	10	Speak English "not at all"
Universe	White alone, not Hispanic or Latino population 5 years and over
PCT062I001	0	Total:
PCT062I002	6	5 to 17 years:
PCT062I003	8	Speak only English
PCT062I004	8	Speak other languages:
PCT062I005	10	Speak English "very well"
PCT062I006	10	Speak English "well"
PCT062I007	10	Speak English "not well"
PCT062I008	10	Speak English "not at all"
PCT062I009	6	18 to 64 years:
PCT062I010	8	Speak only English
PCT062I011	8	Speak other languages:
PCT062I012	10	Speak English "very well"
PCT062I013	10	Speak English "well"
PCT062I014	10	Speak English "not well"
PCT062I015	10	Speak English "not at all"
PCT062I016	6	65 years and over:
PCT062I017	8	Speak only English
PCT062I018	8	Speak other languages:
PCT062I019	10	Speak English "very well"
PCT062I020	10	Speak English "well"
PCT062I021	10	Speak English "not well"
PCT062I022	10	Speak English "not at all"
Universe	White alone population
PCT063A001	0	Total:
PCT063A002	6	Native:
PCT063A003	8	Born in state of residence
PCT063A004	8	Born in other state in the United States:
PCT063A005	10	Northeast
PCT063A006	10	Midwest
PCT063A007	10	South
PCT063A008	10	West
PCT063A009	8	Born outside the United States:
PCT063A010	10	Puerto Rico
PCT063A011	10	U.S. Island Areas
PCT063A012	10	Born abroad of American parent(s)
PCT063A013	6	Foreign born:
PCT063A014	8	Naturalized citizen
PCT063A015	8	Not a citizen
Universe	Black or African American alone population
PCT063B001	0	Total:
PCT063B002	6	Native:
PCT063B003	8	Born in state of residence
PCT063B004	8	Born in other state in the United States:
PCT063B005	10	Northeast
PCT063B006	10	Midwest
PCT063B007	10	South
PCT063B008	10	West
PCT063B009	8	Born outside the United States:
PCT063B010	10	Puerto Rico
PCT063B011	10	U.S. Island Areas
PCT063B012	10	Born abroad of American parent(s)
PCT063B013	6	Foreign born:
PCT063B014	8	Naturalized citizen
PCT063B015	8	Not a citizen
Universe	American Indian and Alaska Native alone population
PCT063C001	0	Total:
PCT063C002	6	Native:
PCT063C003	8	Born in state of residence
PCT063C004	8	Born in other state in the United States:
PCT063C005	10	Northeast
PCT063C006	10	Midwest
PCT063C007	10	South
PCT063C008	10	West
PCT063C009	8	Born outside the United States:
PCT063C010	10	Puerto Rico
PCT063C011	10	U.S. Island Areas
PCT063C012	10	Born abroad of American parent(s)
PCT063C013	6	Foreign born:
PCT063C014	8	Naturalized citizen
PCT063C015	8	Not a citizen
Universe	Asian alone population
PCT063D001	0	Total:
PCT063D002	6	Native:
PCT063D003	8	Born in state of residence
PCT063D004	8	Born in other state in the United States:
PCT063D005	10	Northeast
PCT063D006	10	Midwest
PCT063D007	10	South
PCT063D008	10	West
PCT063D009	8	Born outside the United States:
PCT063D010	10	Puerto Rico
PCT063D011	10	U.S. Island Areas
PCT063D012	10	Born abroad of American parent(s)
PCT063D013	6	Foreign born:
PCT063D014	8	Naturalized citizen
PCT063D015	8	Not a citizen
Universe	Native Hawaiian and Other Pacific Islander alone population
PCT063E001	0	Total:
PCT063E002	6	Native:
PCT063E003	8	Born in state of residence
PCT063E004	8	Born in other state in the United States:
PCT063E005	10	Northeast
PCT063E006	10	Midwest
PCT063E007	10	South
PCT063E008	10	West
PCT063E009	8	Born outside the United States:
PCT063E010	10	Puerto Rico
PCT063E011	10	U.S. Island Areas
PCT063E012	10	Born abroad of American parent(s)
PCT063E013	6	Foreign born:
PCT063E014	8	Naturalized citizen
PCT063E015	8	Not a citizen
Universe	Some other race alone population
PCT063F001	0	Total:
PCT063F002	6	Native:
PCT063F003	8	Born in state of residence
PCT063F004	8	Born in other state in the United States:
PCT063F005	10	Northeast
PCT063F006	10	Midwest
PCT063F007	10	South
PCT063F008	10	West
PCT063F009	8	Born outside the United States:
PCT063F010	10	Puerto Rico
PCT063F011	10	U.S. Island Areas
PCT063F012	10	Born abroad of American parent(s)
PCT063F013	6	Foreign born:
PCT063F014	8	Naturalized citizen
PCT063F015	8	Not a citizen
Universe	Two or more races population
PCT063G001	0	Total:
PCT063G002	6	Native:
PCT063G003	8	Born in state of residence
PCT063G004	8	Born in other state in the United States:
PCT063G005	10	Northeast
PCT063G006	10	Midwest
PCT063G007	10	South
PCT063G008	10	West
PCT063G009	8	Born outside the United States:
PCT063G010	10	Puerto Rico
PCT063G011	10	U.S. Island Areas
PCT063G012	10	Born abroad of American parent(s)
PCT063G013	6	Foreign born:
PCT063G014	8	Naturalized citizen
PCT063G015	8	Not a citizen
Universe	Hispanic or Latino population
PCT063H001	0	Total:
PCT063H002	6	Native:
PCT063H003	8	Born in state of residence
PCT063H004	8	Born in other state in the United States:
PCT063H005	10	Northeast
PCT063H006	10	Midwest
PCT063H007	10	South
PCT063H008	10	West
PCT063H009	8	Born outside the United States:
PCT063H010	10	Puerto Rico
PCT063H011	10	U.S. Island Areas
PCT063H012	10	Born abroad of American parent(s)
PCT063H013	6	Foreign born:
PCT063H014	8	Naturalized citizen
PCT063H015	8	Not a citizen
Universe	White Alone, not Hispanic or Latino population
PCT063I001	0	Total:
PCT063I002	6	Native:
PCT063I003	8	Born in state of residence
PCT063I004	8	Born in other state in the United States:
PCT063I005	10	Northeast
PCT063I006	10	Midwest
PCT063I007	10	South
PCT063I008	10	West
PCT063I009	8	Born outside the United States:
PCT063I010	10	Puerto Rico
PCT063I011	10	U.S. Island Areas
PCT063I012	10	Born abroad of American parent(s)
PCT063I013	6	Foreign born:
PCT063I014	8	Naturalized citizen
PCT063I015	8	Not a citizen
Universe	White alone population 5 years and over
PCT064A001	0	Total:
PCT064A002	6	Same house in 1995
PCT064A003	6	Different house in 1995:
PCT064A004	8	In United States in 1995:
PCT064A005	10	Same county
PCT064A006	10	Different county:
PCT064A007	12	Same state
PCT064A008	12	Different state:
PCT064A009	14	Northeast
PCT064A010	14	Midwest
PCT064A011	14	South
PCT064A012	14	West
PCT064A013	8	In Puerto Rico in 1995:
PCT064A014	10	Same municipio
PCT064A015	10	Different municipio
PCT064A016	8	Elsewhere in 1995:
PCT064A017	10	U.S. Island Areas
PCT064A018	10	Foreign country or at sea
Universe	Black or African American alone population 5 years and over
PCT064B001	0	Total:
PCT064B002	6	Same house in 1995
PCT064B003	6	Different house in 1995:
PCT064B004	8	In United States in 1995:
PCT064B005	10	Same county
PCT064B006	10	Different county:
PCT064B007	12	Same state
PCT064B008	12	Different state:
PCT064B009	14	Northeast
PCT064B010	14	Midwest
PCT064B011	14	South
PCT064B012	14	West
PCT064B013	8	In Puerto Rico in 1995:
PCT064B014	10	Same municipio
PCT064B015	10	Different municipio
PCT064B016	8	Elsewhere in 1995:
PCT064B017	10	U.S. Island Areas
PCT064B018	10	Foreign country or at sea
Universe	American Indian and Alaska Native alone population 5 years and over
PCT064C001	0	Total:
PCT064C002	6	Same house in 1995
PCT064C003	6	Different house in 1995:
PCT064C004	8	In United States in 1995:
PCT064C005	10	Same county
PCT064C006	10	Different county:
PCT064C007	12	Same state
PCT064C008	12	Different state:
PCT064C009	14	Northeast
PCT064C010	14	Midwest
PCT064C011	14	South
PCT064C012	14	West
PCT064C013	8	In Puerto Rico in 1995:
PCT064C014	10	Same municipio
PCT064C015	10	Different municipio
PCT064C016	8	Elsewhere in 1995:
PCT064C017	10	U.S. Island Areas
PCT064C018	10	Foreign country or at sea
Universe	Asian alone population 5 years and over
PCT064D001	0	Total:
PCT064D002	6	Same house in 1995
PCT064D003	6	Different house in 1995:
PCT064D004	8	In United States in 1995:
PCT064D005	10	Same county
PCT064D006	10	Different county:
PCT064D007	12	Same state
PCT064D008	12	Different state:
PCT064D009	14	Northeast
PCT064D010	14	Midwest
PCT064D011	14	South
PCT064D012	14	West
PCT064D013	8	In Puerto Rico in 1995:
PCT064D014	10	Same municipio
PCT064D015	10	Different municipio
PCT064D016	8	Elsewhere in 1995:
PCT064D017	10	U.S. Island Areas
PCT064D018	10	Foreign country or at sea
Universe	Native Hawaiian and Other Pacific Islander alone population 5 years and over
PCT064E001	0	Total:
PCT064E002	6	Same house in 1995
PCT064E003	6	Different house in 1995:
PCT064E004	8	In United States in 1995:
PCT064E005	10	Same county
PCT064E006	10	Different county:
PCT064E007	12	Same state
PCT064E008	12	Different state:
PCT064E009	14	Northeast
PCT064E010	14	Midwest
PCT064E011	14	South
PCT064E012	14	West
PCT064E013	8	In Puerto Rico in 1995:
PCT064E014	10	Same municipio
PCT064E015	10	Different municipio
PCT064E016	8	Elsewhere in 1995:
PCT064E017	10	U.S. Island Areas
PCT064E018	10	Foreign country or at sea
Universe	Some other race alone population 5 years and over
PCT064F001	0	Total:
PCT064F002	6	Same house in 1995
PCT064F003	6	Different house in 1995:
PCT064F004	8	In United States in 1995:
PCT064F005	10	Same county
PCT064F006	10	Different county:
PCT064F007	12	Same state
PCT064F008	12	Different state:
PCT064F009	14	Northeast
PCT064F010	14	Midwest
PCT064F011	14	South
PCT064F012	14	West
PCT064F013	8	In Puerto Rico in 1995:
PCT064F014	10	Same municipio
PCT064F015	10	Different municipio
PCT064F016	8	Elsewhere in 1995:
PCT064F017	10	U.S. Island Areas
PCT064F018	10	Foreign country or at sea
Universe	Two or more races population 5 years and over
PCT064G001	0	Total:
PCT064G002	6	Same house in 1995
PCT064G003	6	Different house in 1995:
PCT064G004	8	In United States in 1995:
PCT064G005	10	Same county
PCT064G006	10	Different county:
PCT064G007	12	Same state
PCT064G008	12	Different state:
PCT064G009	14	Northeast
PCT064G010	14	Midwest
PCT064G011	14	South
PCT064G012	14	West
PCT064G013	8	In Puerto Rico in 1995:
PCT064G014	10	Same municipio
PCT064G015	10	Different municipio
PCT064G016	8	Elsewhere in 1995:
PCT064G017	10	U.S. Island Areas
PCT064G018	10	Foreign country or at sea
Universe	Hispanic or Latino population 5 years and over
PCT064H001	0	Total:
PCT064H002	6	Same house in 1995
PCT064H003	6	Different house in 1995:
PCT064H004	8	In United States in 1995:
PCT064H005	10	Same county
PCT064H006	10	Different county:
PCT064H007	12	Same state
PCT064H008	12	Different state:
PCT064H009	14	Northeast
PCT064H010	14	Midwest
PCT064H011	14	South
PCT064H012	14	West
PCT064H013	8	In Puerto Rico in 1995:
PCT064H014	10	Same municipio
PCT064H015	10	Different municipio
PCT064H016	8	Elsewhere in 1995:
PCT064H017	10	U.S. Island Areas
PCT064H018	10	Foreign country or at sea
Universe	White alone, not Hispanic or Latino population 5 years and over
PCT064I001	0	Total:
PCT064I002	6	Same house in 1995
PCT064I003	6	Different house in 1995:
PCT064I004	8	In United States in 1995:
PCT064I005	10	Same county
PCT064I006	10	Different county:
PCT064I007	12	Same state
PCT064I008	12	Different state:
PCT064I009	14	Northeast
PCT064I010	14	Midwest
PCT064I011	14	South
PCT064I012	14	West
PCT064I013	8	In Puerto Rico in 1995:
PCT064I014	10	Same municipio
PCT064I015	10	Different municipio
PCT064I016	8	Elsewhere in 1995:
PCT064I017	10	U.S. Island Areas
PCT064I018	10	Foreign country or at sea
Universe	White alone workers 16 years and over
PCT065A001	0	Total:
PCT065A002	6	Car, truck, or van:
PCT065A003	8	Drove alone
PCT065A004	8	Carpooled
PCT065A005	6	Public transportation:
PCT065A006	8	Bus or trolley bus
PCT065A007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065A008	8	Subway or elevated
PCT065A009	8	Railroad
PCT065A010	8	Ferryboat
PCT065A011	8	Taxicab
PCT065A012	6	Motorcycle
PCT065A013	6	Bicycle
PCT065A014	6	Walked
PCT065A015	6	Other means
PCT065A016	6	Worked at home
Universe	Black or African American alone workers 16 years and over
PCT065B001	0	Total:
PCT065B002	6	Car, truck, or van:
PCT065B003	8	Drove alone
PCT065B004	8	Carpooled
PCT065B005	6	Public transportation:
PCT065B006	8	Bus or trolley bus
PCT065B007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065B008	8	Subway or elevated
PCT065B009	8	Railroad
PCT065B010	8	Ferryboat
PCT065B011	8	Taxicab
PCT065B012	6	Motorcycle
PCT065B013	6	Bicycle
PCT065B014	6	Walked
PCT065B015	6	Other means
PCT065B016	6	Worked at home
Universe	American Indian and Alaska Native alone workers 16 years and over
